Kurbelwinkel [°KW]	pZyl_mess [bar]	pZyl_berech [bar]	pSaug [bar]	pAbg [bar]	T [K]	dQw [J/s]	V [m3]	m [kg]	R [J/kg/K]	mK [kg]	V_motor [m^3]	dm [kg/s]	Hub_E [m]	Hub_A [m]	alpha_E_vor	alpha_E_rück	alpha_A_vor	alpha_A_rück	T_Saug [K]	O2_Massenbruch	CO2_Massenbruch	H2O_Massenbruch	H_Massenbruch	O_Massenbruch	N_Massenbruch	H2_Massenbruch	OH_Massenbruch	CO_Massenbruch	NO_Massenbruch	N2_Massenbruch	Ar_Massenbruch	Diesel_Massenbruch	RON_95_Massenbruch	AGR_intern_LWA_Massenbruch	AGR_extern_LWA_Massenbruch	feuchteLuft_LWA_Massenbruch
100.19999999999999	 8.978035199087772	 9.002613485524387	 2.2593403798188842	 2.751600479274	 1036.9668495232888	 -0.0	 0.0013000289257426947	 0.004040047019142023	 279.36392761135596	 0.004040047019142022	 0.0013028917136820044	 -1.8485827114036836E-4	 6.110000000000001E-6	 0.0	 4.231582814701371E-5	 4.231582814701371E-5	 0.0	 0.0	 321.75948282954533	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
100.4	 8.953752367097481	 8.976752808784521	 2.233854884994527	 2.685970936451604	 1036.2737870268027	 0.0	 0.0013028869834361835	 0.004039998194464555	 279.36392761135596	 0.004039998194464536	 0.001305749771375493	 -0.0019363583021176978	 0.0	 2.1468000000000042E-5	 0.0	 0.0	 1.48680228913272E-4	 1.48680228913272E-4	 321.75948282954533	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
100.6	 8.929736888181997	 8.95105366741797	 2.233851676420348	 2.6858345921565183	 1035.583449270146	 0.0	 0.0013057402820747198	 0.004039945761800162	 279.36392761135596	 0.0040399457618001235	 0.0013086030700140295	 -0.002073996429193699	 0.0	 2.3051999999999958E-5	 0.0	 0.0	 1.596504861612043E-4	 1.596504861612043E-4	 321.75948282954533	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
100.79999999999998	 8.90592217957569	 8.925514891822578	 2.2338339821971034	 2.685734431002656	 1034.8958266555494	 0.0	 0.0013085887930172062	 0.004039889739174739	 279.36392761135596	 0.004039889739174684	 0.001311451580956516	 -0.0022109482696751693	 0.0	 2.463599999999987E-5	 0.0	 0.0	 1.7062074340913654E-4	 1.7062074340913654E-4	 321.75948282954533	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
101.0	 8.882208927972693	 8.900135322424353	 2.2338073953559108	 2.685663893525992	 1034.2109096206736	 0.0	 0.0013114324877905455	 0.004039830144452778	 279.36392761135596	 0.004039830144452704	 0.0013142952757298552	 -0.002347219968329614	 0.0	 2.6219999999999996E-5	 0.0	 0.0	 1.8159100065707025E-4	 1.8159100065707025E-4	 321.75948282954533	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
101.19999999999999	 8.858523981096313	 8.874913809583296	 2.2337826003106716	 2.6856310796578042	 1033.5286886385531	 0.0	 0.0013142713380895974	 0.004039766995338825	 279.36392761135596	 0.004039766995338731	 0.0013171341260289071	 -0.002482817614233609	 0.0	 2.7803999999999912E-5	 0.0	 0.0	 1.925612579050025E-4	 1.925612579050025E-4	 321.75948282954533	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
101.39999999999998	 8.834770293498945	 8.849849213500157	 2.2337613872505515	 2.6856269511283353	 1032.8491542175384	 0.0	 0.00131710531577713	 0.00403970030937893	 279.36392761135596	 0.00403970030937882	 0.00131996810371644	 -0.0026177472413361834	 0.0	 2.9387999999999828E-5	 0.0	 0.0	 2.0353151515293478E-4	 2.0353151515293478E-4	 321.75948282954533	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
101.6	 8.810872209680698	 8.824940404124133	 2.2337523827199655	 2.685649163061002	 1032.172296901237	 0.0	 0.0013199343928837594	 0.004039630103962086	 279.36392761135596	 0.004039630103961957	 0.0013227971808230693	 -0.0027520148290160794	 0.0	 3.0971999999999954E-5	 0.0	 0.0	 2.145017724008685E-4	 2.145017724008685E-4	 321.75948282954533	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
101.79999999999998	 8.78682622164087	 8.800186261061503	 2.233748085771674	 2.685691096480212	 1031.4981072684543	 0.0	 0.0013227585416078814	 0.0040395563963216445	 279.36392761135596	 0.004039556396321498	 0.0013256213295471913	 -0.002885626302633116	 0.0	 3.255599999999987E-5	 0.0	 0.0	 2.2547202964880077E-4	 2.2547202964880077E-4	 321.75948282954533	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
101.99999999999997	 8.762634821932707	 8.775585673485125	 2.233749626834965	 2.6857394769487923	 1030.8265759331332	 0.0	 0.0013255777343155971	 0.00403947920353672	 279.36392761135596	 0.004039479203536556	 0.0013284405222549068	 -0.0030185875340739024	 0.0	 3.4139999999999785E-5	 0.0	 0.0	 2.3644228689673303E-4	 2.3644228689673303E-4	 321.75948282954533	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
